City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Country,Wind Speed,Current Description
0,Tagab,34.855,69.6492,78.71,30,1,AF,4.21,clear sky
1,Camargo,27.6667,-105.1667,86.65,32,38,MX,16.04,scattered clouds
2,Kletskaya,49.3145,43.0584,76.01,51,12,RU,5.08,few clouds
3,Longyearbyen,78.2186,15.6401,44.44,76,75,SJ,13.8,light rain
4,Ushuaia,-54.8,-68.3,46.06,46,20,AR,18.41,few clouds
5,Albany,42.6001,-73.9662,74.52,75,86,US,7.52,overcast clouds
6,Rikitea,-23.1203,-134.9692,69.31,58,53,PF,22.48,broken clouds
7,Katsuura,35.1333,140.3,82.51,78,3,JP,5.26,clear sky
8,Castro,-24.7911,-50.0119,48.43,85,67,BR,2.39,broken clouds
9,Iracoubo,5.4802,-53.2011,78.98,81,52,GF,8.48,broken clouds
10,Bambous Virieux,-20.3428,57.7575,68.25,94,75,MU,11.5,broken clouds
11,Altagracia De Orituco,9.8601,-66.3814,74.41,96,84,VE,3.22,broken clouds
12,Bethel,41.3712,-73.414,74.8,79,90,US,8.05,overcast clouds
13,Busselton,-33.65,115.3333,53.98,60,92,AU,9.17,overcast clouds
14,Aranos,-24.1333,19.1167,52.72,30,0,NA,8.99,clear sky
15,Barkhan,29.8977,69.5256,83.88,53,8,PK,6.62,clear sky
16,Faanui,-16.4833,-151.75,77.76,68,36,PF,14.63,scattered clouds
17,Bluff,-46.6,168.3333,42.8,84,97,NZ,7.09,overcast clouds
18,Hobart,-42.8794,147.3294,40.12,86,0,AU,1.99,light rain
19,Ylivieska,64.0833,24.55,61.32,98,75,FI,3.31,broken clouds
20,Saint-Philippe,-21.3585,55.7679,67.55,77,49,RE,9.08,scattered clouds
21,Cape Town,-33.9258,18.4232,58.12,81,75,ZA,1.14,broken clouds
22,Puerto Ayora,-0.7393,-90.3518,78.76,88,51,EC,10.0,broken clouds
23,Beyneu,45.3167,55.2,88.56,14,4,KZ,8.41,clear sky
24,Margate,51.3813,1.3862,59.18,83,97,GB,1.99,overcast clouds
25,Caravelas,-17.7125,-39.2481,68.99,65,95,BR,8.9,overcast clouds
26,Mar Del Plata,-38.0023,-57.5575,46.09,31,90,AR,5.01,mist
27,Punta Arenas,-53.15,-70.9167,44.71,65,40,CL,19.57,scattered clouds
28,Pisco,-13.7,-76.2167,66.25,72,0,PE,11.5,clear sky
29,Baiyin,36.5583,104.2081,65.28,39,11,CN,5.35,few clouds
30,Vila Velha,-20.3297,-40.2925,71.96,64,20,BR,6.91,few clouds
31,Brae,60.3964,-1.353,49.91,79,100,GB,12.73,overcast clouds
32,Palauig,15.435,119.9045,81.39,88,100,PH,13.2,overcast clouds
33,Khatanga,71.9667,102.5,62.56,72,46,RU,9.64,scattered clouds
34,Muisne,0.6,-80.0333,84.31,82,60,EC,11.05,broken clouds
35,Arraial Do Cabo,-22.9661,-42.0278,71.56,77,0,BR,8.05,clear sky
36,Kawalu,-7.3817,108.2082,70.47,97,89,ID,1.19,overcast clouds
37,Beringovskiy,63.05,179.3167,46.47,74,40,RU,16.71,scattered clouds
38,Barth,54.3635,12.7249,62.1,66,77,DE,12.62,broken clouds
39,Kahului,20.8947,-156.47,84.97,77,15,US,14.38,few clouds
40,Samarai,-10.6167,150.6667,77.09,65,88,PG,6.93,overcast clouds
41,Colares,38.7992,-9.4469,70.32,78,44,PT,4.0,scattered clouds
42,Ponta Do Sol,32.6667,-17.1,72.23,72,1,PT,7.31,clear sky
43,Arlit,18.7369,7.3853,97.68,23,43,NE,5.57,scattered clouds
44,Namibe,-15.1961,12.1522,69.28,82,65,AO,1.63,broken clouds
45,Jamestown,42.097,-79.2353,70.02,65,46,US,5.99,scattered clouds
46,Kingston,17.997,-76.7936,83.35,84,75,JM,17.27,broken clouds
47,Abancay,-13.6339,-72.8814,61.57,62,88,PE,7.23,overcast clouds
48,Sao Filipe,14.8961,-24.4956,76.01,76,10,CV,6.38,clear sky
49,Jeremie,18.65,-74.1167,85.39,72,98,HT,4.79,overcast clouds
50,Keti Bandar,24.1447,67.4497,81.46,84,100,PK,22.41,overcast clouds
51,Gobo,33.8833,135.15,82.38,80,55,JP,7.09,broken clouds
52,Hilo,19.7297,-155.09,80.8,79,75,US,1.99,light rain
53,Provideniya,64.3833,-173.3,42.91,75,90,RU,20.13,light rain
54,Yaypan,40.3758,70.8156,80.89,29,61,UZ,1.66,broken clouds
55,Atambua,-9.1061,124.8925,69.66,88,45,ID,5.23,scattered clouds
56,Kavaratti,10.5669,72.642,82.08,77,77,IN,15.86,broken clouds
57,Lafia,8.4833,8.5167,72.19,96,100,NG,4.85,overcast clouds
