City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Country,Wind Speed,Current Description
0,0,Tagab,34.855,69.6492,78.71,30,1,AF,4.21,clear sky
1,1,Camargo,27.6667,-105.1667,86.65,32,38,MX,16.04,scattered clouds
2,2,Kletskaya,49.3145,43.0584,76.01,51,12,RU,5.08,few clouds
7,7,Katsuura,35.1333,140.3,82.51,78,3,JP,5.26,clear sky
9,9,Iracoubo,5.4802,-53.2011,78.98,81,52,GF,8.48,broken clouds
15,15,Barkhan,29.8977,69.5256,83.88,53,8,PK,6.62,clear sky
16,16,Faanui,-16.4833,-151.75,77.76,68,36,PF,14.63,scattered clouds
22,22,Puerto Ayora,-0.7393,-90.3518,78.76,88,51,EC,10.0,broken clouds
23,23,Beyneu,45.3167,55.2,88.56,14,4,KZ,8.41,clear sky
32,32,Palauig,15.435,119.9045,81.39,88,100,PH,13.2,overcast clouds
34,34,Muisne,0.6,-80.0333,84.31,82,60,EC,11.05,broken clouds
39,39,Kahului,20.8947,-156.47,84.97,77,15,US,14.38,few clouds
40,40,Samarai,-10.6167,150.6667,77.09,65,88,PG,6.93,overcast clouds
46,46,Kingston,17.997,-76.7936,83.35,84,75,JM,17.27,broken clouds
48,48,Sao Filipe,14.8961,-24.4956,76.01,76,10,CV,6.38,clear sky
49,49,Jeremie,18.65,-74.1167,85.39,72,98,HT,4.79,overcast clouds
50,50,Keti Bandar,24.1447,67.4497,81.46,84,100,PK,22.41,overcast clouds
51,51,Gobo,33.8833,135.15,82.38,80,55,JP,7.09,broken clouds
52,52,Hilo,19.7297,-155.09,80.8,79,75,US,1.99,light rain
54,54,Yaypan,40.3758,70.8156,80.89,29,61,UZ,1.66,broken clouds
56,56,Kavaratti,10.5669,72.642,82.08,77,77,IN,15.86,broken clouds
60,60,Weligama,5.9667,80.4167,77.99,87,100,LK,9.42,overcast clouds
65,65,Lorengau,-2.0226,147.2712,84.27,73,35,PG,11.03,scattered clouds
66,66,Tateyama,34.9833,139.8667,84.97,75,2,JP,4.74,clear sky
74,74,Westport,41.1415,-73.3579,76.08,61,59,US,4.0,broken clouds
75,75,Carauari,-4.8828,-66.8958,81.27,53,36,BR,1.77,scattered clouds
77,77,Kailua,21.4022,-157.7394,84.15,59,40,US,16.11,scattered clouds
81,81,Sur,22.5667,59.5289,89.64,55,100,OM,14.16,overcast clouds
82,82,Kimbe,-5.5502,150.1429,79.36,78,45,PG,3.65,scattered clouds
85,85,Bonfim,3.0833,-59.95,77.09,85,89,BR,5.32,overcast clouds
89,89,Gigmoto,13.7796,124.39,81.14,80,100,PH,7.99,overcast clouds
95,95,Nioro,13.35,-15.75,76.44,90,64,GM,7.4,broken clouds
96,96,Yellowknife,62.456,-114.3525,87.33,28,20,CA,4.61,few clouds
98,98,Hirado,33.3597,129.5531,78.39,85,89,JP,8.12,overcast clouds
100,100,Flin Flon,54.7682,-101.865,84.04,32,1,CA,5.75,smoke
105,105,Butaritari,3.0707,172.7902,83.17,69,10,KI,10.38,clear sky
112,112,Itamaraca,-7.7478,-34.8256,78.85,77,0,BR,16.13,clear sky
115,115,Mogadishu,2.0371,45.3438,75.92,85,65,SO,18.34,light rain
117,117,Kalmunai,7.4167,81.8167,80.47,74,100,LK,3.09,overcast clouds
120,120,Thompson,55.7435,-97.8558,84.36,32,20,CA,12.66,few clouds
126,126,Kapaa,22.0752,-159.319,84.18,78,90,US,4.0,overcast clouds
130,130,Atuona,-9.8,-139.0333,77.11,69,31,PF,11.18,scattered clouds
136,136,Salalah,17.0151,54.0924,75.38,92,100,OM,5.91,overcast clouds
138,138,Jinxiang,27.4327,120.6062,78.8,91,100,CN,5.57,light rain
140,140,Lethem,3.3803,-59.7968,76.57,87,95,GY,5.35,overcast clouds
